ad_id,region,percentage
520817168771548,Alberta,6.0E-5
520817168771548,British Columbia,0.125113
520817168771548,Manitoba,0.046436
520817168771548,New Brunswick,0.074226
520817168771548,Newfoundland and Labrador,0.077353
520817168771548,Nova Scotia,0.072722
520817168771548,Ontario,0.358256
520817168771548,Quebec,0.200782
520817168771548,Saskatchewan,0.045053
520817168771548,Nunavut,0
520817168771548,Northwest Territories,0
520817168771548,Yukon,0
520817168771548,Prince Edward Island,0
719952958509472,Alberta,0.000201
719952958509472,British Columbia,0.163184
719952958509472,Manitoba,0.047715
719952958509472,New Brunswick,0.044852
719952958509472,Newfoundland and Labrador,0.04003
719952958509472,Nova Scotia,0.068508
719952958509472,Ontario,0.479809
719952958509472,Quebec,0.104822
719952958509472,Saskatchewan,0.050779
719952958509472,Nunavut,0.0001
719952958509472,Yukon,0
719952958509472,Northwest Territories,0
719952958509472,Prince Edward Island,0
401226963879119,Alberta,0.080761
401226963879119,British Columbia,0.121997
401226963879119,Manitoba,0.022644
401226963879119,New Brunswick,0.019005
401226963879119,Newfoundland and Labrador,0.02049
401226963879119,Nova Scotia,0.044965
401226963879119,Ontario,0.47485
401226963879119,Prince Edward Island,0.0052
401226963879119,Quebec,0.17649
401226963879119,Saskatchewan,0.0323
401226963879119,Yukon,0.001298
401226963879119,Nunavut,0
401226963879119,Northwest Territories,0
750434215395910,Alberta,0.089846
750434215395910,British Columbia,0.127063
750434215395910,Manitoba,0.024859
750434215395910,New Brunswick,0.015805
750434215395910,Newfoundland and Labrador,0.036521
750434215395910,Nova Scotia,0.050066
750434215395910,Ontario,0.506063
750434215395910,Prince Edward Island,0.011415
750434215395910,Quebec,0.094366
750434215395910,Saskatchewan,0.041171
750434215395910,Yukon,0.002825
750434215395910,Nunavut,0
750434215395910,Northwest Territories,0
2473800229570020,British Columbia,0.11552
2473800229570020,Manitoba,0.052028
2473800229570020,New Brunswick,0.063492
2473800229570020,Newfoundland and Labrador,0.060847
2473800229570020,Nova Scotia,0.108466
2473800229570020,Ontario,0.464727
2473800229570020,Quebec,0.073192
2473800229570020,Saskatchewan,0.061728
2473800229570020,Northwest Territories,0
2473800229570020,Alberta,0
2473800229570020,Prince Edward Island,0
2473800229570020,Nunavut,0
2473800229570020,Yukon,0
404968490123458,Ontario,1
404968490123458,Northwest Territories,0
404968490123458,Quebec,0
404968490123458,British Columbia,0
404968490123458,Alberta,0
