ad_id,region,percentage
1638213919641935,Northwest Territories,0
1638213919641935,Yukon,0
1638213919641935,Nunavut,0
1638213919641935,Newfoundland and Labrador,0
2393284514127366,Alberta,0.094652
2393284514127366,British Columbia,0.06601
2393284514127366,Manitoba,0.042515
2393284514127366,New Brunswick,0.108525
2393284514127366,Nova Scotia,0.040949
2393284514127366,Ontario,0.625643
2393284514127366,Quebec,0.000224
2393284514127366,Saskatchewan,0.017901
2393284514127366,Yukon,0.003356
2393284514127366,Nunavut,0.000224
2393284514127366,Newfoundland and Labrador,0
2393284514127366,Northwest Territories,0
2393284514127366,Prince Edward Island,0
257497955173811,Alberta,0.139046
257497955173811,British Columbia,0.189507
257497955173811,Manitoba,0.04368
257497955173811,New Brunswick,0.040854
257497955173811,Nova Scotia,0.045705
257497955173811,Ontario,0.484365
257497955173811,Prince Edward Island,0.000353
257497955173811,Saskatchewan,0.044669
257497955173811,Yukon,0.006546
257497955173811,Nunavut,0.005275
257497955173811,Quebec,0
257497955173811,Newfoundland and Labrador,0
257497955173811,Northwest Territories,0
409388933081840,Alberta,0.159382
409388933081840,British Columbia,0.159169
409388933081840,Manitoba,0.051548
409388933081840,New Brunswick,0.04238
409388933081840,Nova Scotia,0.049558
409388933081840,Ontario,0.481913
409388933081840,Prince Edward Island,0.000261
409388933081840,Saskatchewan,0.044252
409388933081840,Yukon,0.006136
409388933081840,Nunavut,0.005401
409388933081840,Quebec,0
409388933081840,Newfoundland and Labrador,0
409388933081840,Northwest Territories,0
425105734856826,Alberta,0.124466
425105734856826,British Columbia,0.141637
425105734856826,Manitoba,0.041147
425105734856826,New Brunswick,0.05186
425105734856826,Nova Scotia,0.058026
425105734856826,Ontario,0.539825
425105734856826,Prince Edward Island,0.000439
425105734856826,Quebec,1.0E-5
425105734856826,Saskatchewan,0.033863
425105734856826,Yukon,0.004578
425105734856826,Nunavut,0.004149
425105734856826,Newfoundland and Labrador,0
425105734856826,Northwest Territories,0
694038827783900,Alberta,0.121052
694038827783900,British Columbia,0.146832
694038827783900,Manitoba,0.051285
694038827783900,New Brunswick,0.041922
694038827783900,Nova Scotia,0.04892
694038827783900,Ontario,0.543482
694038827783900,Prince Edward Island,0.000413
694038827783900,Saskatchewan,0.036518
694038827783900,Yukon,0.004624
694038827783900,Northwest Territories,2.0E-6
694038827783900,Nunavut,0.004949
694038827783900,Quebec,0
694038827783900,Newfoundland and Labrador,0
1008720766139638,Alberta,0.132599
1008720766139638,British Columbia,0.166785
1008720766139638,Manitoba,0.038088
1008720766139638,New Brunswick,0.036087
1008720766139638,Nova Scotia,0.045234
