ad_id,page_id,page_name,ad_creative_body,ad_creative_link_caption,ad_creative_link_description,ad_creative_link_title,ad_delivery_start_time,ad_delivery_stop_time,funding_entity,impressions_min,impressions_max,spend_min,spend_max,ad_url
378308886379727,5661704203,Conservative Party of Canada - Parti conservateur du Canada,"Les bureaux de vote par anticipation sont ouverts dans tout le pays du 11 au 14 octobre, de 9 h à 21 h. Apprenez-en plus ici !",conservateur.ca,© Droit d'auteur 2019. Autorisé par l’agent officiel du Parti conservateur du Canada. ‎Regardez nos Politique de confidentialité.,Les bureaux de vote par anticipation sont ouverts !,2019-10-11,2019-10-13,Conservative Party of Canada - Parti conservateur du Canada,5000,5999,100,199,https://www.facebook.com/ads/library/?id=378308886379727
532453050906719,5661704203,Conservative Party of Canada - Parti conservateur du Canada,"Les bureaux de vote par anticipation sont ouverts dans tout le pays du 11 au 14 octobre, de 9 h à 21 h. Apprenez-en plus ici !",conservateur.ca,© Droit d'auteur 2019. Autorisé par l’agent officiel du Parti conservateur du Canada. ‎Regardez nos Politique de confidentialité.,Les bureaux de vote par anticipation sont ouverts !,2019-10-11,2019-10-13,Conservative Party of Canada - Parti conservateur du Canada,10000,14999,200,299,https://www.facebook.com/ads/library/?id=532453050906719
2474565666155050,5661704203,Conservative Party of Canada - Parti conservateur du Canada,"Les bureaux de vote par anticipation sont ouverts dans tout le pays du 11 au 14 octobre, de 9 h à 21 h. Apprenez-en plus ici !",conservateur.ca,© Droit d'auteur 2019. Autorisé par l’agent officiel du Parti conservateur du Canada. ‎Regardez nos Politique de confidentialité.,Les bureaux de vote par anticipation sont ouverts !,2019-10-11,2019-10-13,Conservative Party of Canada - Parti conservateur du Canada,2000,2999,0,99,https://www.facebook.com/ads/library/?id=2474565666155050
587499228656091,5661704203,Conservative Party of Canada - Parti conservateur du Canada,"非常好的活动！谢谢您送给我一个中文名字！当我有幸成为总理，我一定会和加国的华人社区紧密合作，务必令我们一起过上更好的生活！
_____

Great event! Thank you for giving me an official Chinese name!  As Prime Minister,  I look forward to working with the Chinese community in Canada to help us all get ahead!",,,,2019-10-11,2019-10-20,Conservative Party of Canada - Parti conservateur du Canada,25000,29999,700,799,https://www.facebook.com/ads/library/?id=587499228656091
1275224089316512,5661704203,Conservative Party of Canada - Parti conservateur du Canada,"非常好的活動！謝謝您送給我一個中文名字！當我有幸成為總理，我一定會和加國的華人社區緊密合作，務必令我們一起過上更好的生活！
_____

Great event! Thank you for giving me an official Chinese name!  As Prime Minister,  I look forward to working with the Chinese community in Canada to help us all get ahead!",,,,2019-10-11,2019-10-20,Conservative Party of Canada - Parti conservateur du Canada,10000,14999,100,199,https://www.facebook.com/ads/library/?id=1275224089316512
410759736273184,5661704203,Conservative Party of Canada - Parti conservateur du Canada,"非常好的活动！谢谢您送给我一个中文名字！当我有幸成为总理，我一定会和加国的华人社区紧密合作，务必令我们一起过上更好的生活！
_____

Great event! Thank you for giving me an official Chinese name!  As Prime Minister,  I look forward to working with the Chinese community in Canada to help us all get ahead!",,,,2019-10-11,2019-10-20,Conservative Party of Canada - Parti conservateur du Canada,15000,19999,400,499,https://www.facebook.com/ads/library/?id=410759736273184
513321075913047,5661704203,Conservative Party of Canada - Parti conservateur du Canada,"非常好的活動！謝謝您送給我一個中文名字！當我有幸成為總理，我一定會和加國的華人社區緊密合作，務必令我們一起過上更好的生活！
_____

Great event! Thank you for giving me an official Chinese name!  As Prime Minister,  I look forward to working with the Chinese community in Canada to help us all get ahead!",,,,2019-10-11,2019-10-20,Conservative Party of Canada - Parti conservateur du Canada,50000,59999,500,599,https://www.facebook.com/ads/library/?id=513321075913047
1382095121943386,5661704203,Conservative Party of Canada - Parti conservateur du Canada,"非常好的活動！謝謝您送給我一個中文名字！當我有幸成為總理，我一定會和加國的華人社區緊密合作，務必令我們一起過上更好的生活！
_____

Great event! Thank you for giving me an official Chinese name!  As Prime Minister,  I look forward to working with the Chinese community in Canada to help us all get ahead!",,,,2019-10-11,2019-10-20,Conservative Party of Canada - Parti conservateur du Canada,50000,59999,500,599,https://www.facebook.com/ads/library/?id=1382095121943386
2439310352782931,5661704203,Conservative Party of Canada - Parti conservateur du Canada,"非常好的活动！谢谢您送给我一个中文名字！当我有幸成为总理，我一定会和加国的华人社区紧密合作，务必令我们一起过上更好的生活！
_____

Great event! Thank you for giving me an official Chinese name!  As Prime Minister,  I look forward to working with the Chinese community in Canada to help us all get ahead!",,,,2019-10-11,2019-10-20,Conservative Party of Canada - Parti conservateur du Canada,8000,8999,100,199,https://www.facebook.com/ads/library/?id=2439310352782931
389334335094270,5661704203,Conservative Party of Canada - Parti conservateur du Canada,A vote for Andrew Scheer is a vote to fight Justin Trudeau’s out-of-control spending and tax hikes.,fb.me,Sign here!,Support Andrew's plan,2019-10-11,2019-10-13,Conservative Party of Canada - Parti conservateur du Canada,9000,9999,100,199,https://www.facebook.com/ads/library/?id=389334335094270
399068547433116,5661704203,Conservative Party of Canada - Parti conservateur du Canada,Andrew Scheer and Canada’s Conservatives believe in putting people first and creating prosperity for all Canadians.,fb.me,Sign here!,Support Andrew's plan,2019-10-11,2019-10-13,Conservative Party of Canada - Parti conservateur du Canada,8000,8999,100,199,https://www.facebook.com/ads/library/?id=399068547433116
536463400484910,5661704203,Conservative Party of Canada - Parti conservateur du Canada,"A vote for Andrew Scheer is a vote to clean up Justin Trudeau's mess and to restore fairness, order, and compassion to our immigration system.",fb.me,Sign here!,Support Andrew's plan,2019-10-11,2019-10-13,Conservative Party of Canada - Parti conservateur du Canada,1000,1999,0,99,https://www.facebook.com/ads/library/?id=536463400484910
393250754704997,5661704203,Conservative Party of Canada - Parti conservateur du Canada,"A vote for Andrew Scheer is a vote for a Real Plan to Protect Our Environment, Canada’s best chance to meet the Paris targets, without a carbon tax.",fb.me,Sign here!,Support Andrew's plan,2019-10-11,2019-10-13,Conservative Party of Canada - Parti conservateur du Canada,0,999,0,99,https://www.facebook.com/ads/library/?id=393250754704997
2469096563406806,5661704203,Conservative Party of Canada - Parti conservateur du Canada,Our plan balances the need for Canada to fight climate change by lowering emissions with our core promise of leaving more money in Canadians’ pockets and letting them get ahead.,fb.me,Sign here!,Support Andrew's plan,2019-10-11,2019-10-13,Conservative Party of Canada - Parti conservateur du Canada,2000,2999,0,99,https://www.facebook.com/ads/library/?id=2469096563406806
2363181893996593,5661704203,Conservative Party of Canada - Parti conservateur du Canada,"Andrew Scheer wants to help Canadians get ahead, not just get by. He will:

    1) Cancel the carbon tax
    2) Take the GST off of home energy bills
    3) Make maternity leave tax-free",fb.me,Sign here!,Support Andrew's plan,2019-10-11,2019-10-13,Conservative Party of Canada - Parti conservateur du Canada,3000,3999,0,99,https://www.facebook.com/ads/library/?id=2363181893996593
1383843658443934,5661704203,Conservative Party of Canada - Parti conservateur du Canada,"A vote for Andrew Scheer is a vote to strike down the barriers Justin Trudeau has created, creating wealth, prosperity, and opportunity for all Canadians.",fb.me,Sign here!,Support Andrew's plan,2019-10-11,2019-10-13,Conservative Party of Canada - Parti conservateur du Canada,6000,6999,0,99,https://www.facebook.com/ads/library/?id=1383843658443934
563104831126708,5661704203,Conservative Party of Canada - Parti conservateur du Canada,"Behind closed doors, Justin Trudeau’s Liberals proposed a secret plan to implement a tax on up to 50% of the profits on the sale of your home.

Check out the leaked Liberal Policy document here!",hiddenhometax.ca,"In 2018, behind closed doors in a Liberal caucus meeting, Justin Trudeau’s housing expert Adam Vaughan proposed a secret plan to implement a tax on up to 50% of the profits on the sale of your home.",Stop this new tax,2019-10-11,2019-10-13,Conservative Party of Canada - Parti conservateur du Canada,15000,19999,300,399,https://www.facebook.com/ads/library/?id=563104831126708
447593585850729,5661704203,Conservative Party of Canada - Parti conservateur du Canada,"If Justin Trudeau is truly sorry for the hurt he caused, he will not tolerate those who make a mockery of his blackface apology. That is why Conservatives are calling for Justin Trudeau to fire Judy Sgro and Jaime Battiste.",,,Justin Trudeau must fire Judy Sgro and Jaime Battiste.,2019-10-11,2019-10-13,Conservative Party of Canada - Parti conservateur du Canada,80000,89999,1000,1499,https://www.facebook.com/ads/library/?id=447593585850729
410250549875254,5661704203,Conservative Party of Canada - Parti conservateur du Canada,"Maintenant, plus que jamais, le Canada a besoin d’un leadership fédéral solide. Un nouveau gouvernement conservateur va mettre plus d’argent dans vos poches, pour vous et votre famille.",www.andrewscheer.ca,Plus. Pour vous. Dès maintenant.,Appuyez le plan d'Andrew,2019-10-11,2019-10-20,Conservative Party of Canada - Parti conservateur du Canada,1000000,00,10000,14999,https://www.facebook.com/ads/library/?id=410250549875254
2389288141359183,5661704203,Conservative Party of Canada - Parti conservateur du Canada,"Behind closed doors, Justin Trudeau’s Liberals proposed a secret plan to implement a tax on up to 50% of the profits on the sale of your home.

Check out the leaked Liberal Policy document here!",hiddenhometax.ca,"In 2018, behind closed doors in a Liberal caucus meeting, Justin Trudeau’s housing expert Adam Vaughan proposed a secret plan to implement a tax on up to 50% of the profits on the sale of your home.",Stop this new tax,2019-10-11,2019-10-18,Conservative Party of Canada - Parti conservateur du Canada,90000,99999,2000,2499,https://www.facebook.com/ads/library/?id=2389288141359183
473338956860191,5661704203,Conservative Party of Canada - Parti conservateur du Canada,Advance polls are open nation-wide 9 AM - 9 PM from October 11 - 14. Learn more here!,conservative.ca,Support the Conservative Party!,Advance Polls are Open,2019-10-10,2019-10-13,Conservative Party of Canada - Parti conservateur du Canada,35000,39999,300,399,https://www.facebook.com/ads/library/?id=473338956860191
492778541568116,5661704203,Conservative Party of Canada - Parti conservateur du Canada,"Les bureaux de vote par anticipation sont ouverts dans tout le pays du 11 au 14 octobre, de 9 h à 21 h. Apprenez-en plus ici !",conservateur.ca,© Droit d'auteur 2019. Autorisé par l’agent officiel du Parti conservateur du Canada. ‎Regardez nos Politique de confidentialité.,Les bureaux de vote par anticipation sont ouverts !,2019-10-10,2019-10-11,Conservative Party of Canada - Parti conservateur du Canada,2000,2999,0,99,https://www.facebook.com/ads/library/?id=492778541568116
665106057332375,5661704203,Conservative Party of Canada - Parti conservateur du Canada,"Les bureaux de vote par anticipation sont ouverts dans tout le pays du 11 au 14 octobre, de 9 h à 21 h. Apprenez-en plus ici !",conservateur.ca,© Droit d'auteur 2019. Autorisé par l’agent officiel du Parti conservateur du Canada. ‎Regardez nos Politique de confidentialité.,Les bureaux de vote par anticipation sont ouverts !,2019-10-10,2019-10-11,Conservative Party of Canada - Parti conservateur du Canada,5000,5999,0,99,https://www.facebook.com/ads/library/?id=665106057332375
949242978780779,5661704203,Conservative Party of Canada - Parti conservateur du Canada,"Les bureaux de vote par anticipation sont ouverts dans tout le pays du 11 au 14 octobre, de 9 h à 21 h. Apprenez-en plus ici !",conservateur.ca,© Droit d'auteur 2019. Autorisé par l’agent officiel du Parti conservateur du Canada. ‎Regardez nos Politique de confidentialité.,Les bureaux de vote par anticipation sont ouverts !,2019-10-10,2019-10-11,Conservative Party of Canada - Parti conservateur du Canada,5000,5999,0,99,https://www.facebook.com/ads/library/?id=949242978780779
1213622572181352,5661704203,Conservative Party of Canada - Parti conservateur du Canada,"Les bureaux de vote par anticipation sont ouverts dans tout le pays du 11 au 14 octobre, de 9 h à 21 h. Apprenez-en plus ici !",conservateur.ca,© Droit d'auteur 2019. Autorisé par l’agent officiel du Parti conservateur du Canada. ‎Regardez nos Politique de confidentialité.,Les bureaux de vote par anticipation sont ouverts !,2019-10-10,2019-10-11,Conservative Party of Canada - Parti conservateur du Canada,1000,1999,0,99,https://www.facebook.com/ads/library/?id=1213622572181352
2593039680931447,5661704203,Conservative Party of Canada - Parti conservateur du Canada,Advance polls are open nation-wide 9 AM - 9 PM from October 11 - 14. Learn more here!,conservative.ca,Support the Conservative Party!,Advance Polls are Open,2019-10-10,2019-10-13,Conservative Party of Canada - Parti conservateur du Canada,25000,29999,200,299,https://www.facebook.com/ads/library/?id=2593039680931447
2595090457217158,5661704203,Conservative Party of Canada - Parti conservateur du Canada,Advance polls are open nation-wide 9 AM - 9 PM from October 11 - 14. Learn more here!,conservative.ca,Support the Conservative Party!,Advance Polls are Open,2019-10-10,2019-10-13,Conservative Party of Canada - Parti conservateur du Canada,30000,34999,300,399,https://www.facebook.com/ads/library/?id=2595090457217158
2762873633737263,5661704203,Conservative Party of Canada - Parti conservateur du Canada,Advance polls are open nation-wide 9 AM - 9 PM from October 11 - 14. Learn more here!,conservative.ca,Support the Conservative Party!,Advance Polls are Open,2019-10-10,2019-10-13,Conservative Party of Canada - Parti conservateur du Canada,15000,19999,100,199,https://www.facebook.com/ads/library/?id=2762873633737263
1345262648972568,5661704203,Conservative Party of Canada - Parti conservateur du Canada,"Behind closed doors, Justin Trudeau’s Liberals proposed a secret plan to implement a tax on up to 50% of the profits on the sale of your home.

Check out the leaked Liberal Policy document here!",hiddenhometax.ca,"In 2018, behind closed doors in a Liberal caucus meeting, Justin Trudeau’s housing expert Adam Vaughan proposed a secret plan to implement a tax on up to 50% of the profits on the sale of your home.",Stop this new tax,2019-10-11,2019-10-13,Conservative Party of Canada - Parti conservateur du Canada,20000,24999,300,399,https://www.facebook.com/ads/library/?id=1345262648972568
954331054965909,5661704203,Conservative Party of Canada - Parti conservateur du Canada,"Behind closed doors, Justin Trudeau’s Liberals proposed a secret plan to implement a tax on up to 50% of the profits on the sale of your home.

Check out the leaked Liberal Policy document here!",hiddenhometax.ca,"In 2018, behind closed doors in a Liberal caucus meeting, Justin Trudeau’s housing expert Adam Vaughan proposed a secret plan to implement a tax on up to 50% of the profits on the sale of your home.",Stop this new tax,2019-10-11,2019-10-13,Conservative Party of Canada - Parti conservateur du Canada,20000,24999,300,399,https://www.facebook.com/ads/library/?id=954331054965909
502779940305612,5661704203,Conservative Party of Canada - Parti conservateur du Canada,"Justin Trudeau will say anything to get elected. 

He can't be trusted – he's not as advertised.",www.notasadvertised.ca,Watch and sign here,Pledge to vote him out,2019-10-11,2019-10-13,Conservative Party of Canada - Parti conservateur du Canada,60000,69999,800,899,https://www.facebook.com/ads/library/?id=502779940305612
410004233046677,5661704203,Conservative Party of Canada - Parti conservateur du Canada,"Justin Trudeau will say anything to get elected. 

He can't be trusted – he's not as advertised.",www.notasadvertised.ca,Watch and sign here,Pledge to vote him out,2019-10-11,2019-10-13,Conservative Party of Canada - Parti conservateur du Canada,60000,69999,800,899,https://www.facebook.com/ads/library/?id=410004233046677
431071984259817,5661704203,Conservative Party of Canada - Parti conservateur du Canada,"Justin Trudeau will say anything to get elected. 

He can't be trusted – he's not as advertised.",www.notasadvertised.ca,Watch and sign here,Pledge to vote him out,2019-10-11,2019-10-13,Conservative Party of Canada - Parti conservateur du Canada,90000,99999,800,899,https://www.facebook.com/ads/library/?id=431071984259817
1014771908869918,5661704203,Conservative Party of Canada - Parti conservateur du Canada,"Justin Trudeau will say anything to get elected. 

He can't be trusted – he's not as advertised.",www.notasadvertised.ca,Watch and sign here,Pledge to vote him out,2019-10-11,2019-10-13,Conservative Party of Canada - Parti conservateur du Canada,80000,89999,1000,1499,https://www.facebook.com/ads/library/?id=1014771908869918
